year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2011;846022;1698;1496;.2426470588235294;.0695187165775401;.0441176470588235;.3128342245989305;Onsild;Mariagerfjord;6. Mariagerfjord;.0417395085096359;.5944055914878845;136.1439313;.7245444800000001;759201.75;485957.96875;2115192
2015;846022;1717;1463;.2173615857826384;.0293916609706083;.0239234449760766;.228298017771702;Onsild;Mariagerfjord;6. Mariagerfjord;.0417395085096359;.5944055914878845;136.1439313;.7245444800000001;759201.75;485957.96875;2115192
2005;846027;7625;6198;.3102613746369797;.08486608583414;.1153597934817683;.2921910293643111;Hobro;Mariagerfjord;6. Mariagerfjord;.0373461805284023;.5440236330032349;104.1693516;.463350785;540280;408340.6875;1420889
2007;846027;7818;6538;.2977974915876415;.0379320893239523;.1284796573875803;.2644539614561028;Hobro;Mariagerfjord;6. Mariagerfjord;.0373461805284023;.5440236330032349;104.1693516;.463350785;540280;408340.6875;1420889
2011;846027;7963;6717;.3114485633467322;.0732469852612774;.047640315617091;.2758672026202174;Hobro;Mariagerfjord;6. Mariagerfjord;.0373461805284023;.5440236330032349;107.333073;.468877254;540280;408340.6875;1420889
2015;846027;7979;6577;.3015052455526836;.0392276113729664;.02219857077695;.2151436825300289;Hobro;Mariagerfjord;6. Mariagerfjord;.0373461805284023;.5440236330032349;107.333073;.468877254;540280;408340.6875;1420889
2005;849001;3902;3379;.292394199467298;.0722107132287659;.1166025451316958;.328499556081681;Aabybro;Jammerbugt;3. Brønderslev;.031217023730278;.5710517168045044;127.4818016;.741128298;716779;507976.59375;729259
2007;849001;4042;3552;.2885698198198198;.0320945945945946;.1492117117117117;.2840653153153153;Aabybro;Jammerbugt;3. Brønderslev;.031217023730278;.5710517168045044;127.4818016;.741128298;716779;507976.59375;729259
2011;849001;4218;3798;.2909426013691416;.0652975250131648;.0605581885202738;.3241179568193786;Aabybro;Jammerbugt;3. Brønderslev;.031217023730278;.5710517168045044;131.3204301;.726195514;716779;507976.59375;729259
2015;849001;4465;3957;.29618397776093;.0250189537528431;.0242608036391205;.3032600454890068;Aabybro;Jammerbugt;3. Brønderslev;.031217023730278;.5710517168045044;131.3204301;.726195514;716779;507976.59375;729259
2005;849002;1481;1311;.3485888634630053;.0556826849733028;.0907704042715484;.2822273073989321;Biersted;Jammerbugt;3. Brønderslev;.0395665317773819;.5680443644523621;132.7243995;.8824273070000001;586474.4375;500119.46875;705990
