"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"Gedser","2. Guldborgsund","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494930.xml",1177,960,7,1,968,277,20,22,31,32,5,361,101,81,30,0,"Gedser, Guldborgsund, Denmark",54.5744,11.9312,4874,376,"4874 Gedser",NaN,NaN,30.9375,NA,NA,NA,NA
"Vordingborg","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494931.xml",4326,3515,32,14,3561,1064,101,109,157,183,11,855,578,284,169,4,"Vordingborg, Vordingborg, Denmark",55.0089,11.9094,4760,390,"4760 Vordingborg",21.4399,23.7339,33.1437,21.4399,0,23.7339,0
"Masnedsund","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494932.xml",3245,2752,17,8,2777,973,71,51,127,99,4,622,394,255,154,2,"Masnedsund, Vordingborg, Denmark",55.0018,11.8721,4760,390,"4760 Vordingborg",21.4399,23.7339,37.936,21.4399,0,23.7339,0
"Nyråd","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494933.xml",2258,1997,14,4,2015,574,70,67,89,153,6,413,403,124,97,1,"Nyråd, Vordingborg, Denmark",55.0029,11.9612,4760,390,"4760 Vordingborg",21.4399,23.7339,32.2484,21.4399,0,23.7339,0
"Kastrup","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494934.xml",2076,1774,14,4,1792,559,33,52,57,77,5,495,299,143,54,0,"Kastrup, Vordingborg, Denmark",55.0329,11.8994,4760,390,"4760 Vordingborg",21.4399,23.7339,33.3709,21.4399,0,23.7339,0
"Bårse","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494935.xml",930,791,8,0,799,180,17,27,22,37,1,231,207,39,30,0,"Bårse, Vordingborg, Denmark",55.126,11.9516,4720,390,"4720 Præstø",-0.341623,22.3247,24.9052,0,0.341623,22.3247,0
"Lundby","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494936.xml",2950,2460,13,11,2484,584,43,71,90,143,8,751,468,192,110,0,"Lundby, Vordingborg, Denmark",55.1086,11.8759,4750,390,"4750 Lundby",NaN,NaN,25.4878,NA,NA,NA,NA
"Ørslev","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494937.xml",1598,1383,16,3,1402,441,25,29,33,56,8,413,271,83,21,3,"Ørslev, Vordingborg, Denmark",55.0427,11.964,4760,390,"4760 Vordingborg",21.4399,23.7339,33.6949,21.4399,0,23.7339,0
"Stege","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494938.xml",4441,3722,40,16,3778,1177,100,86,109,144,9,828,795,290,183,1,"Stege, Vordingborg, Denmark",54.991,12.2869,4780,390,"4780 Stege",3.65493,27.2711,34.3095,3.65493,0,27.2711,0
"Østmøn","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494939.xml",1324,1113,9,8,1130,303,18,16,36,60,3,288,222,99,68,0,"Østmøn, Vordingborg, Denmark",55.0089,11.9094,4760,390,"4760 Vordingborg",21.4399,23.7339,28.841,21.4399,0,23.7339,0
"Vestmøn","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494940.xml",1815,1568,13,4,1585,435,46,25,53,77,9,306,311,181,125,0,"Vestmøn, Vordingborg, Denmark",54.8829,12.1524,4792,390,"4792 Askeby",NaN,NaN,30.676,NA,NA,NA,NA
"Bogø","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494941.xml",881,788,3,2,793,258,17,13,29,25,2,174,143,73,53,1,"Bogø, Vordingborg, Denmark",54.9268,12.051,4793,390,"4793 Bogø By",NaN,NaN,34.8985,NA,NA,NA,NA
"Præstø","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494942.xml",3315,2799,26,15,2840,879,75,74,116,146,9,658,491,220,129,2,"Præstø, Vordingborg, Denmark",55.1183,12.0551,4720,390,"4720 Præstø",-0.341623,22.3247,34.0836,0,0.341623,22.3247,0
"Allerslev","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494943.xml",925,803,7,1,811,195,21,12,26,52,3,198,180,57,59,0,"Allerslev, Vordingborg, Denmark",55.0817,12.0356,4720,390,"4720 Præstø",-0.341623,22.3247,26.8991,0,0.341623,22.3247,0
"Jungshoved","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494944.xml",619,558,3,2,563,156,13,7,28,28,1,133,95,44,52,1,"Jungshoved, Vordingborg, Denmark",55.0544,12.0646,4735,390,"4735 Mern",NaN,NaN,30.2867,NA,NA,NA,NA
"Mern","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494945.xml",1435,1229,10,2,1241,320,24,27,42,52,5,370,258,84,47,0,"Mern, Vordingborg, Denmark",55.0484,12.0568,4735,390,"4735 Mern",NaN,NaN,27.9902,NA,NA,NA,NA
"Kalvehave","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494946.xml",1698,1461,13,1,1475,452,30,31,46,62,2,401,259,102,76,0,"Kalvehave, Vordingborg, Denmark",54.9984,12.1677,4771,390,"4771 Kalvehave",NaN,NaN,32.9911,NA,NA,NA,NA
"Stensved","3. Vordingborg","Sjællands Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494947.xml",1533,1378,14,2,1394,425,30,35,41,60,3,390,268,76,50,0,"Stensved, Vordingborg, Denmark",54.9985,12.0263,4773,390,"4773 Stensved",NaN,NaN,33.0189,NA,NA,NA,NA
"Allinge","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494888.xml",2811,2308,17,3,2328,665,27,31,73,104,37,510,470,239,152,0,"Allinge, Aakirkeby, Denmark",55.0701,14.9205,3720,400,"3720 Aakirkeby",NaN,NaN,29.9827,NA,NA,NA,NA
"Østermarie","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494889.xml",2341,1944,15,12,1971,458,37,39,61,91,61,377,439,235,146,0,"Østermarie, Aakirkeby, Denmark",55.0701,14.9205,3720,400,"3720 Aakirkeby",NaN,NaN,25.463,NA,NA,NA,NA
"Svaneke","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494890.xml",1695,1457,13,2,1472,402,46,28,52,83,41,165,295,201,144,0,"Svaneke, Aakirkeby, Denmark",55.0717,14.9225,3720,400,"3720 Aakirkeby",NaN,NaN,30.7481,NA,NA,NA,NA
"Nexø","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494891.xml",3534,2849,22,18,2889,1004,36,41,71,105,88,556,604,214,130,0,"Nexø, Aakirkeby, Denmark",55.0691,14.9722,3720,400,"3720 Aakirkeby",NaN,NaN,36.504,NA,NA,NA,NA
"Pedersker","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494892.xml",1335,1149,9,0,1158,337,17,13,31,62,38,267,273,57,54,0,"Pedersker, Aakirkeby, Denmark",55.0309,14.9924,3720,400,"3720 Aakirkeby",NaN,NaN,30.8094,NA,NA,NA,NA
"Aakirkeby","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494893.xml",4236,3473,25,5,3503,1119,59,44,81,136,164,706,797,245,122,0,"Aakirkeby, Aakirkeby, Denmark",55.0701,14.9205,3720,400,"3720 Aakirkeby",NaN,NaN,33.9188,NA,NA,NA,NA
"Klemensker","1. Rønne","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494885.xml",1981,1641,16,5,1662,454,23,48,35,59,72,399,370,127,54,0,"Klemensker, Rønne, Denmark",55.2449,14.7913,3770,400,"3770 Allinge",-15.4623,NaN,29.0676,0,15.4623,NA,NA
"Rønne","1. Rønne","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494886.xml",11179,9165,87,31,9283,3599,153,166,267,340,203,1729,1616,677,415,0,"Rønne, Rønne, Denmark",55.101,14.7083,3700,400,"3700 Rønne",18.2915,16.7699,40.9384,18.2915,0,16.7699,0
"Hasle","1. Rønne","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494887.xml",2268,1911,23,5,1939,623,28,30,40,57,45,446,389,175,78,0,"Hasle, Rønne, Denmark",55.1243,14.7112,3700,400,"3700 Rønne",18.2915,16.7699,34.0659,18.2915,0,16.7699,0
"Middelfart V","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495183.xml",5098,4384,39,12,4435,1453,148,141,231,262,14,917,738,314,166,0,"Middelfart V, Middelfart, Denmark",55.4972,9.74717,5500,410,"5500 Middelfart",6.21905,11.0078,36.5192,6.21905,0,11.0078,0
"Middelfart Ø","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495184.xml",5088,4468,32,14,4514,1593,163,141,151,284,26,965,781,239,125,0,"Middelfart Ø, Middelfart, Denmark",55.4972,9.74717,5500,410,"5500 Middelfart",6.21905,11.0078,39.3017,6.21905,0,11.0078,0
"Strib","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495185.xml",3351,3071,14,3,3088,734,168,157,110,314,17,562,721,170,118,0,"Strib, Middelfart, Denmark",55.5357,9.77788,5500,410,"5500 Middelfart",6.21905,11.0078,29.3715,6.21905,0,11.0078,0
"Hyllehøj","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495186.xml",1962,1707,9,1,1717,505,54,52,69,115,3,434,353,83,39,0,"Hyllehøj, Middelfart, Denmark",55.4883,9.78764,5500,410,"5500 Middelfart",6.21905,11.0078,32.7475,6.21905,0,11.0078,0
"Aulby","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495187.xml",1071,917,12,1,930,228,28,19,40,68,4,259,193,43,35,0,"Aulby, Middelfart, Denmark",55.5006,9.82234,5500,410,"5500 Middelfart",6.21905,11.0078,27.9171,6.21905,0,11.0078,0
"Nørre Aaby","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495188.xml",2809,2417,39,7,2463,743,74,58,95,141,11,575,491,162,67,0,"Nørre Aaby, Middelfart, Denmark",55.4724,9.87335,5580,410,"5580 Nørre Aaby",NaN,NaN,33.8022,NA,NA,NA,NA
"Baaring","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495189.xml",1461,1297,14,3,1314,296,47,35,58,88,5,301,318,74,75,0,"Baaring, Middelfart, Denmark",55.4906,9.90976,5466,410,"5466 Asperup",NaN,NaN,26.4456,NA,NA,NA,NA
"Ejby","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495190.xml",2253,1889,17,3,1909,505,50,57,86,100,13,511,431,90,46,0,"Ejby, Middelfart, Denmark",55.4346,9.93936,5592,410,"5592 Ejby",NaN,NaN,29.3806,NA,NA,NA,NA
"Gelsted","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495191.xml",2062,1733,20,2,1755,479,27,49,80,87,4,484,361,99,63,0,"Gelsted, Middelfart, Denmark",55.3988,9.97336,5591,410,"5591 Gelsted",NaN,NaN,29.1979,NA,NA,NA,NA
"Brenderup","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495192.xml",1994,1695,16,1,1712,453,57,42,49,119,10,443,376,80,66,0,"Brenderup, Middelfart, Denmark",55.4893,9.97183,5464,410,"5464 Brenderup Fyn",NaN,NaN,30.0885,NA,NA,NA,NA
"Fjelsted/Harndrup","5. Middelfart","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495193.xml",1279,1100,12,1,1113,271,29,42,36,59,5,333,238,63,24,0,"Fjelsted/Harndrup, Middelfart, Denmark",55.4412,10.0133,5463,410,"5463 Harndrup",NaN,NaN,27.2727,NA,NA,NA,NA
"Christiansø","2. Aakirkeby","Bornholms Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494894.xml",59,55,3,0,58,22,1,1,5,0,0,13,4,5,4,0,"Christiansø, Aakirkeby, Denmark",55.0701,14.9205,3720,400,"3720 Aakirkeby",NaN,NaN,41.8182,NA,NA,NA,NA
"Assens","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495160.xml",5382,4397,42,14,4453,1389,98,138,142,240,17,1074,810,358,131,0,"Assens, Assens, Denmark",55.2702,9.90082,5610,420,"5610 Assens",-4.9928,-8.63343,33.8185,0,4.9928,0,8.63343
"Ebberup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495161.xml",1307,1150,11,3,1164,392,21,31,45,53,3,271,231,70,33,0,"Ebberup, Assens, Denmark",55.2478,9.98401,5631,420,"5631 Ebberup",NaN,NaN,35.913,NA,NA,NA,NA
"Turup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495162.xml",662,592,4,1,597,167,10,11,20,40,4,154,115,48,23,0,"Turup, Assens, Denmark",55.3005,9.99163,5610,420,"5610 Assens",-4.9928,-8.63343,29.8986,0,4.9928,0,8.63343
"Salbrovad","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495163.xml",701,616,11,1,628,156,8,25,23,51,1,183,112,36,21,0,"Salbrovad, Assens, Denmark",55.3201,9.93972,5610,420,"5610 Assens",-4.9928,-8.63343,26.6234,0,4.9928,0,8.63343
"Helnæs","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495164.xml",189,174,1,0,175,41,5,9,10,11,0,42,42,6,8,0,"Helnæs, Assens, Denmark",55.1412,10.0121,5631,420,"5631 Ebberup",NaN,NaN,26.4368,NA,NA,NA,NA
"Køng","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495165.xml",750,655,7,2,664,176,27,22,22,52,2,125,143,50,36,0,"Køng, Assens, Denmark",55.2578,10.1326,5620,420,"5620 Glamsbjerg",NaN,NaN,30.9924,NA,NA,NA,NA
"Glamsbjerg","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495166.xml",1957,1690,17,4,1711,522,53,55,67,75,10,398,296,148,66,0,"Glamsbjerg, Assens, Denmark",55.2777,10.1073,5620,420,"5620 Glamsbjerg",NaN,NaN,34.0237,NA,NA,NA,NA
"Flemløse","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495167.xml",831,706,6,7,719,167,13,25,26,29,1,223,156,45,21,0,"Flemløse, Assens, Denmark",55.2486,10.0672,5620,420,"5620 Glamsbjerg",NaN,NaN,25.4958,NA,NA,NA,NA
"Søllested","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495168.xml",390,339,2,0,341,91,3,11,10,24,6,97,60,23,14,0,"Søllested, Assens, Denmark",55.2925,10.0493,5620,420,"5620 Glamsbjerg",NaN,NaN,27.7286,NA,NA,NA,NA
"Ørsted","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495169.xml",415,349,1,1,351,77,9,9,12,23,1,96,84,20,18,0,"Ørsted, Assens, Denmark",55.3317,10.0554,5620,420,"5620 Glamsbjerg",NaN,NaN,24.6418,NA,NA,NA,NA
"Dreslette","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495170.xml",632,563,4,1,568,130,17,17,21,44,8,127,140,40,19,0,"Dreslette, Assens, Denmark",55.2264,10.0369,5683,420,"5683 Haarby",NaN,NaN,26.1101,NA,NA,NA,NA
"Haarby","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495171.xml",2589,2225,12,9,2246,642,51,70,55,112,4,575,518,123,75,0,"Haarby, Assens, Denmark",55.2152,10.1206,5683,420,"5683 Haarby",NaN,NaN,31.1461,NA,NA,NA,NA
"Jordløse","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495172.xml",524,435,2,0,437,117,20,13,16,22,0,103,79,40,25,0,"Jordløse, Assens, Denmark",55.1993,10.1557,5683,420,"5683 Haarby",NaN,NaN,31.4943,NA,NA,NA,NA
"Brylle","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495173.xml",1273,1159,15,2,1176,342,30,41,50,77,11,264,252,58,34,0,"Brylle, Assens, Denmark",55.3219,10.2521,5690,420,"5690 Tommerup",-9.19511,-5.84858,32.0966,0,9.19511,0,5.84858
"Tommerup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495174.xml",1499,1302,19,4,1325,365,44,33,56,87,10,309,284,74,40,0,"Tommerup, Assens, Denmark",55.3208,10.2045,5690,420,"5690 Tommerup",-9.19511,-5.84858,31.4132,0,9.19511,0,5.84858
"Tommerup St","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495175.xml",1776,1593,19,6,1618,507,62,42,81,123,6,292,302,121,57,0,"Tommerup St, Assens, Denmark",55.2948,10.214,5690,420,"5690 Tommerup",-9.19511,-5.84858,35.7188,0,9.19511,0,5.84858
"Verninge","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495176.xml",880,745,9,4,758,186,21,19,23,40,7,206,175,39,29,0,"Verninge, Assens, Denmark",55.2923,10.2133,5690,420,"5690 Tommerup",-9.19511,-5.84858,27.7852,0,9.19511,0,5.84858
"Nårup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495177.xml",365,310,4,2,316,92,3,6,10,19,1,80,73,15,11,0,"Nårup, Assens, Denmark",55.3043,10.1541,5690,420,"5690 Tommerup",-9.19511,-5.84858,30.6452,0,9.19511,0,5.84858
"Vissenbjerg","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495178.xml",4496,3905,31,10,3946,1070,93,135,153,245,10,1075,709,281,134,0,"Vissenbjerg, Assens, Denmark",55.3874,10.1255,5492,420,"5492 Vissenbjerg",NaN,NaN,29.7823,NA,NA,NA,NA
"Aarup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495179.xml",2561,2179,20,10,2209,643,57,80,49,164,7,515,479,119,66,0,"Aarup, Assens, Denmark",55.3792,10.0484,5560,420,"5560 Aarup",NaN,NaN,32.1248,NA,NA,NA,NA
"Kerte","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495180.xml",529,445,5,5,455,105,6,11,9,33,2,119,120,24,16,0,"Kerte, Assens, Denmark",55.3629,9.99327,5560,420,"5560 Aarup",NaN,NaN,24.9438,NA,NA,NA,NA
"Orte","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495181.xml",594,531,5,1,537,146,17,18,26,38,1,110,93,43,39,0,"Orte, Assens, Denmark",55.35,10.0904,5560,420,"5560 Aarup",NaN,NaN,30.6968,NA,NA,NA,NA
"Rørup","4. Assens","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495182.xml",593,520,7,2,529,134,12,15,13,24,3,179,106,25,9,0,"Rørup, Assens, Denmark",55.4129,10.0277,5560,420,"5560 Aarup",NaN,NaN,28.0769,NA,NA,NA,NA
"Allested-Vejle","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495254.xml",1242,1099,16,3,1118,287,20,22,45,57,1,306,262,68,31,0,"Allested-Vejle, Faaborg, Denmark",55.2679,10.3193,5672,430,"5672 Broby",NaN,NaN,27.9345,NA,NA,NA,NA
"Brobyværk","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495255.xml",1052,849,16,2,867,205,21,31,31,45,1,205,201,65,44,0,"Brobyværk, Faaborg, Denmark",55.2303,10.2562,5672,430,"5672 Broby",NaN,NaN,26.6196,NA,NA,NA,NA
"Nørre Broby","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495256.xml",1535,1313,7,3,1323,346,22,21,47,67,1,315,392,66,36,0,"Nørre Broby, Faaborg, Denmark",55.2581,10.2157,5672,430,"5672 Broby",NaN,NaN,28.0274,NA,NA,NA,NA
"Vester Hæsinge","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495257.xml",834,703,5,4,712,147,13,28,30,36,1,159,197,61,31,0,"Vester Hæsinge, Faaborg, Denmark",55.1965,10.2497,5672,430,"5672 Broby",NaN,NaN,22.7596,NA,NA,NA,NA
"Avernakø","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495258.xml",102,92,1,0,93,15,2,7,5,2,0,19,22,15,5,0,"Avernakø, Faaborg, Denmark",55.0225,10.2646,5600,430,"5600 Faaborg",-13.2235,-19.0926,18.4783,0,13.2235,0,19.0926
"Faaborg","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495259.xml",6403,5413,48,23,5484,1624,155,186,260,242,14,1189,1089,407,247,0,"Faaborg, Faaborg, Denmark",55.1042,10.2287,5600,430,"5600 Faaborg",-13.2235,-19.0926,32.8653,0,13.2235,0,19.0926
"Horne","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495260.xml",1552,1394,7,0,1401,349,32,39,55,56,2,368,349,89,55,0,"Horne, Faaborg, Denmark",55.1084,10.1669,5600,430,"5600 Faaborg",-13.2235,-19.0926,27.3314,0,13.2235,0,19.0926
"Korinth","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495261.xml",1601,1312,11,3,1326,314,40,31,60,76,3,346,263,116,63,0,"Korinth, Faaborg, Denmark",55.1438,10.3295,5600,430,"5600 Faaborg",-13.2235,-19.0926,26.9817,0,13.2235,0,19.0926
"Lyø","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495262.xml",85,74,0,0,74,16,0,5,6,0,0,12,29,5,1,0,"Lyø, Faaborg, Denmark",55.0406,10.1486,5600,430,"5600 Faaborg",-13.2235,-19.0926,21.6216,0,13.2235,0,19.0926
"Svanninge","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495263.xml",1703,1464,11,10,1485,351,48,49,52,85,8,334,346,117,74,0,"Svanninge, Faaborg, Denmark",55.1256,10.2285,5600,430,"5600 Faaborg",-13.2235,-19.0926,27.2541,0,13.2235,0,19.0926
"Vester Aaby","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495264.xml",1384,1168,16,3,1187,305,24,19,52,50,4,290,263,124,37,0,"Vester Aaby, Faaborg, Denmark",55.084,10.3763,5600,430,"5600 Faaborg",-13.2235,-19.0926,28.1678,0,13.2235,0,19.0926
"Espe","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495265.xml",1109,961,8,2,971,232,15,28,30,58,2,244,253,59,40,0,"Espe, Faaborg, Denmark",55.2033,10.4155,5750,430,"5750 Ringe",9.24865,-25.0355,25.7024,9.24865,0,0,25.0355
"Hillerslev","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495266.xml",1099,916,11,0,927,183,16,24,35,64,7,249,253,58,27,0,"Hillerslev, Faaborg, Denmark",55.2075,10.3471,5750,430,"5750 Ringe",9.24865,-25.0355,21.7249,9.24865,0,0,25.0355
"Ringe","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495267.xml",5654,4760,46,15,4821,1309,165,141,185,254,20,1021,1147,321,197,0,"Ringe, Faaborg, Denmark",55.2361,10.4797,5750,430,"5750 Ringe",9.24865,-25.0355,30.9664,9.24865,0,0,25.0355
"Søllinge","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495268.xml",838,728,12,2,742,182,19,17,34,42,3,195,136,62,38,0,"Søllinge, Faaborg, Denmark",55.2857,10.5362,5750,430,"5750 Ringe",9.24865,-25.0355,27.6099,9.24865,0,0,25.0355
"Gislev","8. Faaborg","Fyns Storkreds","Sjælland-Syddanmark","http://www.dst.dk/valg/Valg1487635/xml/fintal_1495269.xml",1644,1376,14,3,1393,387,39,44,47,80,9,350,277,102,41,0,"Gislev, Faaborg, Denmark",55.2189,10.5978,5854,430,"5854 Gislev",NaN,NaN,30.9593,NA,NA,NA,NA
